tender_id,organization,manufacturing_unit,location,category,description,uom,quantity,source_portal,source_url
BHEL-HPBP-2026-3301,Bharat Heavy Electricals Limited,High Pressure Boiler Plant (HPBP),Trichy / Boiler Production,Alloy Steel Piping,"Seamless Ferritic Alloy Steel Pipe ASTM A335 Grade P91 OD 323.9mm WT 45.0mm (12 Inch Sch 160) Normalised and Tempered for 800MW Supercritical Boiler Main Steam Line",MTR,450,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HPBP-2026-3301
BHEL-HPBP-2026-3302,Bharat Heavy Electricals Limited,High Pressure Boiler Plant (HPBP),Trichy / Tube Mills,Boiler Tubes,"Seamless Alloy Steel Boiler Tubes ASTM A213 Grade T91 OD 50.8mm WT 6.5mm Cold Drawn Rifle Bore Internal Ribbed for Supercritical Furnace Water Wall",MTR,12500,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HPBP-2026-3302
BHEL-HPBP-2026-3303,Bharat Heavy Electricals Limited,High Pressure Boiler Plant (HPBP),Trichy / Valve Division,High Pressure Valves,"High Pressure Parallel Slide Gate Valve ASME Class 2500 Size 10 Inch NB Butt Weld Ends Body Forged Alloy Steel ASTM A182 F91 with Electric Actuator",NOS,6,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HPBP-2026-3303
BHEL-HPBP-2026-3304,Bharat Heavy Electricals Limited,High Pressure Boiler Plant (HPBP),Trichy / Piping Centre Chennai,Forged Flanges,"High Pressure Weld Neck Flange ASME Class 2500 Size 8 Inch NB Schedule XXS Forged Alloy Steel ASTM A182 F22 Class 3 Raised Face",NOS,24,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HPBP-2026-3304
BHEL-HEEP-2026-2111,Bharat Heavy Electricals Limited,Heavy Electrical Equipment Plant (HEEP),Haridwar / Turbine Block,Turbine Forgings,"Steam Turbine HP/IP Monoblock Rotor Shaft Forging Vacuum Degassed Ni-Cr-Mo-V Alloy Steel ASTM A470 Class 8 Weight 28 Ton for 660MW Supercritical Turbine",NOS,2,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HEEP-2026-2111
BHEL-HEEP-2026-2112,Bharat Heavy Electricals Limited,Heavy Electrical Equipment Plant (HEEP),Haridwar / Generator Shop,Generator Components,"Turbo-Generator Stator Winding Bar Hollow Copper Conductor Oxygen-Free High Conductivity (OFHC) with Resin-Rich Mica-Epoxy VPI Class F Insulation for 800MW Unit",SET,180,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HEEP-2026-2112
BHEL-HEEP-2026-2113,Bharat Heavy Electricals Limited,Heavy Electrical Equipment Plant (HEEP),Haridwar / Fasteners Dept,Turbine Studs,"Creep Resistant High Temperature Stud Bolt ASTM A193 Grade B16 Size 3 Inch Dia x 450mm Length with 2 Heavy Hex Nuts ASTM A194 Grade 7 for HP Turbine Casing Joint",SET,64,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HEEP-2026-2113
BHEL-HEEP-2026-2114,Bharat Heavy Electricals Limited,Heavy Electrical Equipment Plant (HEEP),Haridwar / Hydro Block,Hydro Turbine Spares,"Francis Hydro Turbine Runner Blade Casting 13% Cr 4% Ni Martensitic Stainless Steel ASTM A743 Grade CA6NM Finish Machined Weight 1.8 Ton",NOS,16,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-HEEP-2026-2114
BHEL-BAP-2026-1541,Bharat Heavy Electricals Limited,Boiler Auxiliaries Plant (BAP),Ranipet / ESP Division,Electrostatic Precipitator,"Collecting Electrode Sheet Profile Roll Formed Corten Steel / ASTM A606 Type 4 Cold Rolled Thickness 1.2mm Length 15.0 Metres for Thermal ESP",NOS,850,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BAP-2026-1541
BHEL-BAP-2026-1542,Bharat Heavy Electricals Limited,Boiler Auxiliaries Plant (BAP),Ranipet / Fan Division,Heavy Fans Spares,"Heavy Duty Variable Pitch Induced Draft (ID) Fan Impeller Blade Forged Aluminum Alloy EN AW-6082 T6 Finish Machined with Hard Anodizing",NOS,48,eprocurebhel.co.in,https://eprocurebhel.co.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=BHEL-BAP-2026-1542
