canonical_id,commodity_class,canonical_description,canonical_uom,type,material,pressure_class,nominal_size,standard,grade,schedule,length,diameter,thread,conductor,cores,cross_section,cross_section_unit,voltage
CAN-001,Valve,BALL VALVE CARBON STEEL DN100 CLASS 150,EA,Ball Valve,Carbon Steel,Class 150,DN100,ASME B16.34,,,,,,,,,,
CAN-002,Valve,CHECK VALVE CARBON STEEL DN50 CLASS 150,EA,Check Valve,Carbon Steel,Class 150,DN50,ASME B16.34,,,,,,,,,,
CAN-003,Valve,GLOBE VALVE ALLOY STEEL DN150 CLASS 600,EA,Globe Valve,Alloy Steel,Class 600,DN150,ASME B16.34,,,,,,,,,,
CAN-004,Valve,CHECK VALVE ALLOY STEEL DN150 CLASS 600,EA,Check Valve,Alloy Steel,Class 600,DN150,ASME B16.34,,,,,,,,,,
CAN-005,Valve,CHECK VALVE STAINLESS STEEL DN100 CLASS 600,EA,Check Valve,Stainless Steel,Class 600,DN100,ASME B16.34,,,,,,,,,,
CAN-006,Valve,BALL VALVE CARBON STEEL DN50 CLASS 600,EA,Ball Valve,Carbon Steel,Class 600,DN50,ASME B16.34,,,,,,,,,,
CAN-007,Valve,GATE VALVE ALLOY STEEL DN100 CLASS 600,EA,Gate Valve,Alloy Steel,Class 600,DN100,ASME B16.34,,,,,,,,,,
CAN-008,Valve,CHECK VALVE CARBON STEEL DN150 CLASS 300,EA,Check Valve,Carbon Steel,Class 300,DN150,ASME B16.34,,,,,,,,,,
CAN-009,Valve,CHECK VALVE ALLOY STEEL DN50 CLASS 300,EA,Check Valve,Alloy Steel,Class 300,DN50,ASME B16.34,,,,,,,,,,
CAN-010,Valve,GLOBE VALVE ALLOY STEEL DN50 CLASS 150,EA,Globe Valve,Alloy Steel,Class 150,DN50,ASME B16.34,,,,,,,,,,
CAN-011,Valve,GATE VALVE CARBON STEEL DN50 CLASS 600,EA,Gate Valve,Carbon Steel,Class 600,DN50,ASME B16.34,,,,,,,,,,
CAN-012,Valve,GLOBE VALVE STAINLESS STEEL DN50 CLASS 300,EA,Globe Valve,Stainless Steel,Class 300,DN50,ASME B16.34,,,,,,,,,,
CAN-013,Valve,CHECK VALVE ALLOY STEEL DN150 CLASS 300,EA,Check Valve,Alloy Steel,Class 300,DN150,ASME B16.34,,,,,,,,,,
CAN-014,Valve,CHECK VALVE CARBON STEEL DN50 CLASS 600,EA,Check Valve,Carbon Steel,Class 600,DN50,ASME B16.34,,,,,,,,,,
CAN-015,Valve,GLOBE VALVE CARBON STEEL DN50 CLASS 600,EA,Globe Valve,Carbon Steel,Class 600,DN50,ASME B16.34,,,,,,,,,,
CAN-016,Pipe,PIPE HDPE PE100 DN50 SCH10S,M,,HDPE,,DN50,API 5L,PE100,SCH10S,6m,,,,,,,
CAN-017,Pipe,PIPE STAINLESS STEEL PE100 DN100 SCH80,M,,Stainless Steel,,DN100,API 5L,PE100,SCH80,6m,,,,,,,
CAN-018,Pipe,PIPE PVC TP316L DN100 SCH80,M,,PVC,,DN100,API 5L,TP316L,SCH80,6m,,,,,,,
CAN-019,Pipe,PIPE HDPE API 5L GR B DN100 SCH80,M,,HDPE,,DN100,API 5L,API 5L Gr B,SCH80,6m,,,,,,,
CAN-020,Pipe,PIPE HDPE API 5L GR B DN50 SCH10S,M,,HDPE,,DN50,API 5L,API 5L Gr B,SCH10S,6m,,,,,,,
CAN-021,Pipe,PIPE HDPE PE100 DN200 SCH10S,M,,HDPE,,DN200,API 5L,PE100,SCH10S,6m,,,,,,,
CAN-022,Pipe,PIPE PVC PE100 DN50 SCH10S,M,,PVC,,DN50,API 5L,PE100,SCH10S,6m,,,,,,,
CAN-023,Pipe,PIPE PVC TP304 DN200 SCH80,M,,PVC,,DN200,API 5L,TP304,SCH80,6m,,,,,,,
CAN-024,Pipe,PIPE PVC TP304 DN200 SCH80,M,,PVC,,DN200,API 5L,TP304,SCH80,6m,,,,,,,
CAN-025,Pipe,PIPE CARBON STEEL TP316L DN100 SCH80,M,,Carbon Steel,,DN100,API 5L,TP316L,SCH80,6m,,,,,,,
CAN-026,Pipe,PIPE HDPE TP316L DN200 SCH40,M,,HDPE,,DN200,API 5L,TP316L,SCH40,6m,,,,,,,
CAN-027,Pipe,PIPE STAINLESS STEEL API 5L GR B DN100 SCH40,M,,Stainless Steel,,DN100,API 5L,API 5L Gr B,SCH40,6m,,,,,,,
CAN-028,Pipe,PIPE STAINLESS STEEL TP316L DN50 SCH10S,M,,Stainless Steel,,DN50,API 5L,TP316L,SCH10S,6m,,,,,,,
CAN-029,Pipe,PIPE HDPE API 5L GR B DN50 SCH80,M,,HDPE,,DN50,API 5L,API 5L Gr B,SCH80,6m,,,,,,,
CAN-030,Pipe,PIPE PVC TP304 DN100 SCH40,M,,PVC,,DN100,API 5L,TP304,SCH40,6m,,,,,,,
CAN-031,Bolt,HEX HEAD CARBON STEEL B7,EA,Hex Head,Carbon Steel,,,,B7,,50mm,M20,Fine,,,,,
CAN-032,Bolt,STUD BOLT CARBON STEEL 10.9,EA,Stud Bolt,Carbon Steel,,,,10.9,,50mm,1/2 inch,Coarse,,,,,
CAN-033,Bolt,STUD BOLT CARBON STEEL B7,EA,Stud Bolt,Carbon Steel,,,,B7,,50mm,1/2 inch,UNC,,,,,
CAN-034,Bolt,STUD BOLT STAINLESS STEEL B7,EA,Stud Bolt,Stainless Steel,,,,B7,,50mm,M20,Fine,,,,,
CAN-035,Bolt,HEX HEAD STAINLESS STEEL 10.9,EA,Hex Head,Stainless Steel,,,,10.9,,50mm,M12,Fine,,,,,
CAN-036,Bolt,HEX HEAD STAINLESS STEEL 10.9,EA,Hex Head,Stainless Steel,,,,10.9,,50mm,M12,Coarse,,,,,
CAN-037,Bolt,STUD BOLT STAINLESS STEEL 8.8,EA,Stud Bolt,Stainless Steel,,,,8.8,,50mm,M20,UNC,,,,,
CAN-038,Bolt,HEX HEAD CARBON STEEL B7,EA,Hex Head,Carbon Steel,,,,B7,,50mm,M20,Coarse,,,,,
CAN-039,Bolt,STUD BOLT CARBON STEEL B7,EA,Stud Bolt,Carbon Steel,,,,B7,,50mm,M12,Coarse,,,,,
CAN-040,Bolt,STUD BOLT CARBON STEEL 8.8,EA,Stud Bolt,Carbon Steel,,,,8.8,,50mm,1/2 inch,Fine,,,,,
CAN-041,Cable,CONTROL CABLE 4 CORE 2.5 SQ.MM 11 KV,M,Control Cable,,,,,,,,,,Aluminium,4 Core,2.5,SQ.MM,11 kV
CAN-042,Cable,CONTROL CABLE 4 CORE 1.5 SQ.MM 11 KV,M,Control Cable,,,,,,,,,,Aluminium,4 Core,1.5,SQ.MM,11 kV
CAN-043,Cable,CONTROL CABLE 12 CORE 1.5 SQ.MM 11 KV,M,Control Cable,,,,,,,,,,Aluminium,12 Core,1.5,SQ.MM,11 kV
CAN-044,Cable,POWER CABLE 4 CORE 2.5 SQ.MM 11 KV,M,Power Cable,,,,,,,,,,Aluminium,4 Core,2.5,SQ.MM,11 kV
CAN-045,Cable,CONTROL CABLE 3 CORE 2.5 SQ.MM 3.3 KV,M,Control Cable,,,,,,,,,,Aluminium,3 Core,2.5,SQ.MM,3.3 kV
CAN-046,Cable,CONTROL CABLE 4 CORE 2.5 SQ.MM 3.3 KV,M,Control Cable,,,,,,,,,,Copper,4 Core,2.5,SQ.MM,3.3 kV
CAN-047,Cable,POWER CABLE 4 CORE 240 SQ.MM 3.3 KV,M,Power Cable,,,,,,,,,,Aluminium,4 Core,240,SQ.MM,3.3 kV
CAN-048,Cable,CONTROL CABLE 12 CORE 240 SQ.MM 11 KV,M,Control Cable,,,,,,,,,,Aluminium,12 Core,240,SQ.MM,11 kV
CAN-049,Cable,CONTROL CABLE 4 CORE 2.5 SQ.MM 3.3 KV,M,Control Cable,,,,,,,,,,Copper,4 Core,2.5,SQ.MM,3.3 kV
CAN-050,Cable,POWER CABLE 3 CORE 1.5 SQ.MM 1.1 KV,M,Power Cable,,,,,,,,,,Aluminium,3 Core,1.5,SQ.MM,1.1 kV
