org,tender_ref,category,description,location,uom,quantity
NTPC Limited,NTPC/SSC-ER-II/990028808,Electrical Goods,Supply of 11KV XLPE Power Cable 3C x 240 Sqmm for Talcher Thermal Power Project,"Talcher STPS, Odisha",MTR,4500
NTPC Limited,NTPC/SSC-NR/990029112,Industrial Valves,Consolidated Procurement of Cast Iron Gate Valves 100NB Class 150 for Singrauli and Rihand,"Singrauli STPS, UP",NOS,48
NTPC Limited,NTPC/SSC-WR-I/990030014,Piping Materials,Seamless Carbon Steel Pipes ASTM A106 Grade B 6 Inch NB Schedule 40 for Mouda Stage-II,"Mouda Super Thermal Power, Maharashtra",MTR,1200
POWERGRID Corporation,CC-CS/G1/2026/TRANS-01,Electrical Goods,Supply of Uninhibited Mineral Insulating Transformer Oil Conforming to IS 335 in 209L Drums,"Vindhyachal Pooling Station, MP",LTR,45000
Damodar Valley Corporation,DVC/MECH/BOILER/2026/88,Boiler Spares,Supply of High Pressure Spiral Wound Gaskets 4 Inch Class 300 SS316 with Graphite Filler,"Mejia Thermal Power Station, WB",NOS,250
Steel Authority of India Limited,SAIL/BSP/MECH/2026/0491,Industrial Valves,Procurement of Cast Steel Gate Valves Class 150 50NB and 100NB for Blast Furnace #7,"Bhilai Steel Plant, Chhattisgarh",NOS,35
Steel Authority of India Limited,SAIL/BSL/PUR/2026/ROLL-12,Bearings,Spherical Roller Bearings 22220 EK/C3 Taper Bore for Hot Strip Mill Runout Tables,"Bokaro Steel Plant, Jharkhand",NOS,120
Steel Authority of India Limited,SAIL/RSP/SINTER/2026/BLT-04,Conveyor Belting,Heat Resistant EP 1000/4 Conveyor Belting 1400 MM Width 5+2 Grade HR-150 Degree,"Rourkela Steel Plant, Odisha",MTR,850
Steel Authority of India Limited,SAIL/DSP/FST/2026/081,Hardware & Fasteners,High Tensile Hex Head Bolts Grade 8.8 Galvanized M20 x 80 MM conforming to IS 1363,"Durgapur Steel Plant, West Bengal",NOS,5000
Rashtriya Ispat Nigam Limited,RINL/VSP/PMP/2026/102,Pumps & Rotating,Supply of Horizontal Centrifugal Water Pumps 100 M3/HR Head 45M with 45 kW Induction Motor,"Visakhapatnam Steel Plant, AP",SET,6
Bharat Heavy Electricals Limited,BHEL/BAP/PUR/2026/FLG-01,Mechanical Components,Supply of Forged Carbon Steel Weld Neck Flanges 6 Inch 150 Lbs ASTM A105 to BAP Ranipet,"Boiler Auxiliaries Plant, Ranipet, Tamil Nadu",NOS,120
Bharat Heavy Electricals Limited,BHEL/HPBP/MM/2026/P91-PIPE,Alloy Steel Piping,Seamless Alloy Steel Pipes ASTM A335 Grade P91 10 Inch NB Schedule 160 for Supercritical Boilers,"High Pressure Boiler Plant, Trichy, Tamil Nadu",MTR,600
Bharat Heavy Electricals Limited,BHEL/HEEP/PUR/2026/TURB-09,Fasteners & Studs,Alloy Steel Stud Bolts ASTM A193 Grade B7 Size 1 Inch Dia x 150 MM with 2 Heavy Hex Nuts A194 2H,"Heavy Electrical Equipment Plant, Haridwar, UK",SET,400
Bharat Heavy Electricals Limited,BHEL/BFP/ELEC/2026/CBL-02,Cables & Wires,1.1 kV Grade 4 Core 25 Sq mm Copper Conductor XLPE FRLS Armoured Power Cable,"Heavy Power Equipment Plant, Hyderabad, Telangana",MTR,2500
Coal India Limited - Eastern Coalfields,ECL/HQ/E&M/BRG/2026/182,Bearings,Supply of Deep Groove Ball Bearings 6205-2RS and Spherical Roller Bearings 22316 CC/W33 for Coal Handling,"Sanctoria, West Bengal",NOS,250
Coal India Limited - Bharat Coking Coal,BCCL/WASHERY/BLT/2026/44,Conveyor Belting,Fire Resistant Synthetic Rubber Conveyor Belting EP 800/4 1200 MM Width 4+2 Grade M Tensile 800 N/MM,"Dhanbad, Jharkhand",MTR,1500
Coal India Limited - South Eastern Coalfields,SECL/BSP/MM/2026/PMP-91,Pumping Equipment,Submersible Dewatering Slurry Pump Capacity 50 M3/HR Head 30M 15 kW Flameproof Motor,"Bilaspur, Chhattisgarh",SET,14
Coal India Limited - Northern Coalfields,NCL/SING/CBL/2026/TRAIL,Mining Cables,Flexible Trailing Cable 3.3 kV Grade 3 Core 70 Sq mm Annealed Tinned Copper for Shovels,"Singrauli, MP",MTR,1200
National Mineral Development Corp,NMDC/BIOM/MECH/2026/019,Crushing & Screening Spares,Supply of Troughing Idler Rollers Dia 127 MM x 465 MM Length for Iron Ore Conveyors,"Bailadila Iron Ore Mine, Chhattisgarh",NOS,600
Indian Oil Corporation Limited,IOCL/REF/PJ/PIPE/2026/91,Pipes and Tubing,Procurement of Carbon Steel Seamless Pipes API 5L Grade B 4 Inch NB Schedule 40 for Panipat Refinery,"Panipat Refinery, Haryana",MTR,1800
Indian Oil Corporation Limited,IOCL/MATHURA/VLV/2026/77,Industrial Valves,Cast Carbon Steel Gate Valves API 600 Class 150 Size 4 Inch Flanged RF Body ASTM A216 WCB,"Mathura Refinery, UP",NOS,24
Oil and Natural Gas Corporation,ONGC/MR/MM/2026/CASING-01,Oilfield Tubular Goods,Seamless Casing Pipes 9-5/8 Inch OD Grade L80 Buttress Thread Conforming to API Spec 5CT,"Mumbai Offshore Basin, Maharashtra",MTR,3500
GAIL (India) Limited,GAIL/NOIDA/C3/2026/VLV-BALL,Pipeline Valves,Ball Valve Full Bore Trunnion Mounted 12 Inch Class 600 Flanged RF Conforming to API 6D,"Pata Petrochemical Complex, UP",NOS,8
