tender_id,organization,subsidiary_or_unit,location,category,description,uom,quantity,source_portal,source_url
CIL-ECL-2026-0891,Coal India Limited,Eastern Coalfields Limited (ECL),Sanctoria / Sodepur Area,HEMM Spares,"Bucket Tooth Point Heavy Duty Alloy Steel conforming to IS 2708 Grade 3 for P&H 1900AL 10 Cu.M Electric Mining Shovel",NOS,120,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-ECL-2026-0891
CIL-ECL-2026-0892,Coal India Limited,Eastern Coalfields Limited (ECL),Rajmahal OCP,HEMM Spares,"Track Shoe / Track Pad Cast Austenitic Manganese Steel 12-14% Mn for Komatsu PC1250 Hydraulic Excavator",NOS,90,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-ECL-2026-0892
CIL-ECL-2026-0893,Coal India Limited,Eastern Coalfields Limited (ECL),Jhanjra Underground Mine,Flameproof Electricals,"Flameproof Air Circuit Breaker (ACB) Gate End Box 550V 400A FLP/Ex'd' Group I conforming to IS/IEC 60079-1 for Coal Face",SET,8,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-ECL-2026-0893
CIL-ECL-2026-0894,Coal India Limited,Eastern Coalfields Limited (ECL),Kenda Area,Underground Mining Spares,"Roof Bolting Resin Capsule Fast Setting Diameter 24mm Length 400mm for Mine Roof Support conforming to DGMS Norms",NOS,25000,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-ECL-2026-0894
CIL-BCCL-2026-1042,Coal India Limited,Bharat Coking Coal Limited (BCCL),Kusunda Area,HEMM Spares,"Hydraulic Hoist Cylinder Assembly Double Acting Bore 220mm Stroke 3400mm for Caterpillar 777D 100-Ton Dump Truck",NOS,4,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-BCCL-2026-1042
CIL-BCCL-2026-1043,Coal India Limited,Bharat Coking Coal Limited (BCCL),Madhuban Coal Washery,Conveyor Belting,"Fire Resistant Antistatic (FRAS) Steel Cord Conveyor Belting ST-2000 Width 1400mm Top Cover 8mm Bottom Cover 6mm conforming to IS 15143",MTR,1200,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-BCCL-2026-1043
CIL-BCCL-2026-1044,Coal India Limited,Bharat Coking Coal Limited (BCCL),Moonidih Deep Underground Mine,Flameproof Electricals,"Flameproof Squirrel Cage Induction Motor 110 kW 3.3 kV 1480 RPM Foot Mounted FLP Ex'd' Group I for Underground Slurry Pump",SET,6,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-BCCL-2026-1044
CIL-BCCL-2026-1045,Coal India Limited,Bharat Coking Coal Limited (BCCL),Barora Area,Pumping Equipment,"Centrifugal Slurry Pump High Chrome Alloy Casting 28% Cr 150mm Discharge 350 M3/HR Head 45M with Mechanical Seal",SET,5,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-BCCL-2026-1045
CIL-CCL-2026-0511,Coal India Limited,Central Coalfields Limited (CCL),Piparwar OCP,Heavy Machinery Spares,"In-Pit Mobile Crusher Toothed Sizer Segment High Manganese Cast Steel ASTM A128 Grade C for Coal Sizing",SET,24,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-CCL-2026-0511
CIL-CCL-2026-0512,Coal India Limited,Central Coalfields Limited (CCL),North Karanpura Area,Mining Cables,"Trailing Cable Flexible Annealed Tinned Copper Conductor 3.3 kV Grade 3 Core 70 Sq.mm EPR Insulated Heavy Duty PCP Sheathed to IS 9968 P1",MTR,2400,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-CCL-2026-0512
CIL-CCL-2026-0513,Coal India Limited,Central Coalfields Limited (CCL),Kathara Washery,Screen Spares,"Polyurethane Dewatering Screen Panel Size 305mm x 305mm Aperture 0.5mm x 11mm Slotted for Coal Fines Recovery",NOS,450,coalindiatenders.nic.in,https://coalindiatenders.nic.in/nicgep/app?component=view&page=FrontEndTenderDetails&id=CIL-CCL-2026-0513
