gem_item_code,source_portal,category_id,category_name,unspsc_code,item_description,standard_uom,target_sector
GEM-VLV-001,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Cast Carbon Steel Gate Valve Flanged ASME B16.34 Class 150 50 NB Trim 8,NOS,Oil & Gas
GEM-VLV-002,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Forged Stainless Steel Ball Valve 3-Piece Screwed Class 800 Full Bore SS316,NOS,Petrochemical
GEM-VLV-003,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Dual Plate Check Valve Wafer Type Cast Iron Body SS304 Plates PN16 DN100,NOS,Power / Water
GEM-VLV-004,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Globe Valve Flanged End Class 300 ASTM A216 WCB 80 NB Stellite Facing,NOS,Power
GEM-VLV-005,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Cast Steel Gate Valve API 600 Class 150 Size 100 NB Flanged RF WCB,NOS,Oil & Gas / Refinery
GEM-VLV-006,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Butterfly Valve Wafer Lugged Type PN16 150 NB Body CI Disc SS316 EPDM Seat,NOS,Water / Mining
GEM-VLV-007,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Forged Carbon Steel Globe Valve 800 LBS ASTM A105 Size 25 NB Socket Weld,NOS,Thermal Power
GEM-VLV-008,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Swing Check Valve Flanged End Class 150 Size 80 NB ASTM A216 WCB Trim 8,NOS,Refinery
GEM-VLV-009,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Ball Valve 2 Piece Trunnion Mounted Class 300 150 NB Body A216 WCB Ball SS316,NOS,Gas Pipeline
GEM-VLV-010,gem.gov.in,GEM-CAT-401416,Industrial Valves,40141600,Needle Valve 6000 PSI 1/2 Inch NPT Female SS316 Body and Trim,NOS,Instrumentation
GEM-PIP-001,gem.gov.in,GEM-CAT-401715,Pipes and Tubes,40171500,"Seamless Carbon Steel Line Pipe API 5L Grade B PSL2 6"" NB Schedule 40",MTR,Oil & Gas
GEM-PIP-002,gem.gov.in,GEM-CAT-401715,Pipes and Tubes,40171500,"ASTM A312 TP304 Stainless Steel Seamless Pipe 2"" NB Schedule 10S",MTR,Refinery
GEM-PIP-003,gem.gov.in,GEM-CAT-401715,Pipes and Tubes,40171500,ERW Heavy Duty Galvanised Steel Pipe IS 1239 Part 1 Medium Grade 50 NB,MTR,Mining / Water
GEM-PIP-004,gem.gov.in,GEM-CAT-401715,Pipes and Tubes,40171500,"ASTM A106 Grade B Carbon Steel Seamless Pipe 4"" NB Schedule 40 Beveled Ends",MTR,Thermal Power
GEM-PIP-005,gem.gov.in,GEM-CAT-401715,Pipes and Tubes,40171500,"ASTM A106 Grade B Carbon Steel Seamless Pipe 8"" NB Schedule 80 Plain Ends",MTR,Refinery
GEM-PIP-006,gem.gov.in,GEM-CAT-401715,Pipes and Tubes,40171500,"ASTM A312 TP316L Stainless Steel Seamless Pipe 1"" NB Schedule 40S",MTR,Fertilizer / Chemical
GEM-PIP-007,gem.gov.in,GEM-CAT-401715,Pipes and Tubes,40171500,"Alloy Steel Pipe ASTM A335 Grade P91 10"" NB Schedule 160 High Temperature",MTR,Thermal Power Boiler
GEM-PIP-008,gem.gov.in,GEM-CAT-401715,Pipes and Tubes,40171500,Submerged Arc Welded Steel Pipe IS 3589 Fe 410 Grade 300 NB 6.35 MM Wall,MTR,Water Transmission
GEM-FST-001,gem.gov.in,GEM-CAT-311616,Industrial Fasteners,31161600,Hex Head Bolt Full Thread Stainless Steel Grade A2-70 M12 x 65 mm,NOS,General Engineering
GEM-FST-002,gem.gov.in,GEM-CAT-311616,Industrial Fasteners,31161600,"High Tensile Alloy Steel Stud Bolt ASTM A193 Grade B7 with 2 Nuts A194 2H 3/4"" x 120 mm",SET,Oil & Gas / Refinery
GEM-FST-003,gem.gov.in,GEM-CAT-311616,Industrial Fasteners,31161600,Stainless Steel Nut Grade A4-80 M16 Hexagonal DIN 934,NOS,Marine / Offshore
