tender_id,organization,plant_unit,location,category,description,uom,quantity,source_portal,source_url
SAIL-BSP-2026-0491,Steel Authority of India Limited,Bhilai Steel Plant (BSP),Bhilai / Blast Furnace #7,Blast Furnace Spares,"Blast Furnace Copper Cooling Stave Plate Grade Cu-DHP High Conductivity with Cast-In Serpent Pipes for Bosh Area",NOS,16,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSP-2026-0491
SAIL-BSP-2026-0492,Steel Authority of India Limited,Bhilai Steel Plant (BSP),Rail & Structural Mill (RSM),Rolling Mill Spares,"Cast Alloy Steel Work Roll Diameter 950mm Barrel Length 2400mm Hardness 45-50 HSD for Universal Rail Rolling Mill",NOS,4,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSP-2026-0492
SAIL-BSP-2026-0493,Steel Authority of India Limited,Bhilai Steel Plant (BSP),Steel Melting Shop-II (SMS-II),Refractory Firebricks,"Magnesite Carbon Brick (MgO-C) 12% Residual Carbon Resin Bonded with Metallic Antioxidants for 130T Converter Slag Zone",MT,250,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSP-2026-0493
SAIL-BSP-2026-0494,Steel Authority of India Limited,Bhilai Steel Plant (BSP),Continuous Casting Plant (CCP),Casting Machine Spares,"Continuous Casting Machine (CCM) Segment Roll Assembly Diameter 260mm Barrel 1800mm with Internal Water Cooling AISI 4140",NOS,18,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSP-2026-0494
SAIL-BSL-2026-1121,Steel Authority of India Limited,Bokaro Steel Plant (BSL),Hot Strip Mill (HSM),Bearings & Chocks,"Spherical Roller Bearing 241/670 ECA/W33 Bore 670mm OD 1090mm Width 412mm for HSM 4-Hi Roughing Stand Backup Roll Chock",NOS,4,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSL-2026-1121
SAIL-BSL-2026-1122,Steel Authority of India Limited,Bokaro Steel Plant (BSL),Coke Ovens & By-Products,Refractory Firebricks,"Silica Refractory Bricks Grade IS 484 Heavy Density Bulk Density 1.85 g/cc for Coke Oven Battery Regenerator and Flue Walls",MT,450,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSL-2026-1122
SAIL-BSL-2026-1123,Steel Authority of India Limited,Bokaro Steel Plant (BSL),Blast Furnace #4,Blast Furnace Spares,"Tuyere Stock Assembly Forged Stainless Steel AISI 316 with Ceramic Thermal Barrier Coating for 1150 Deg C Blast Temperature",SET,12,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSL-2026-1123
SAIL-BSL-2026-1124,Steel Authority of India Limited,Bokaro Steel Plant (BSL),Cold Rolling Mill (CRM),Piping & Valves,"High Pressure Descaling Valve 2-Way Poppet Type 250 Bar Operating Pressure Stainless Steel 17-4PH Trim for CRM Descaling System",NOS,6,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSL-2026-1124
SAIL-RSP-2026-0811,Steel Authority of India Limited,Rourkela Steel Plant (RSP),Plate Mill,Rolling Mill Spares,"Forged Forged Alloy Steel Backup Roll Diameter 1600mm Barrel 3600mm Weight 65 Ton Cr-Mo-V Alloyed for 4.3M Wide Plate Mill",NOS,2,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-RSP-2026-0811
SAIL-RSP-2026-0812,Steel Authority of India Limited,Rourkela Steel Plant (RSP),Sinter Plant-III,Sinter Machine Spares,"Sinter Pallet Car Body Cast Steel Grade IS 1030 280-520W Complete with Replaceable Grate Bars Cr-Mo Alloy 25% Cr",NOS,20,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-RSP-2026-0812
SAIL-RSP-2026-0813,Steel Authority of India Limited,Rourkela Steel Plant (RSP),SMS-II Ladle Furnace,Refractory Firebricks,"High Alumina Refractory Bricks 70% Al2O3 Bulk Density 2.65 g/cc Cold Crushing Strength 65 MPa for 150T Steel Teeming Ladles",MT,300,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-RSP-2026-0813
SAIL-RSP-2026-0814,Steel Authority of India Limited,Rourkela Steel Plant (RSP),Power & Blowers Station,High Temperature Valves,"High Temperature Steam Gate Valve ASME Class 600 Size 12 Inch NB Body Cast Alloy Steel ASTM A217 WC9 Trim Stellite Faced",NOS,4,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-RSP-2026-0814
SAIL-DSP-2026-0621,Steel Authority of India Limited,Durgapur Steel Plant (DSP),Wheel & Axle Plant (WAP),Heavy Forging Spares,"Heavy Hydraulic Press Forging Die Block Pre-Hardened Cr-Ni-Mo Steel DIN 1.2714 / AISI L6 for Railway Wheel Forging Press",NOS,6,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-DSP-2026-0621
SAIL-DSP-2026-0622,Steel Authority of India Limited,Durgapur Steel Plant (DSP),Merchant & Section Mill,Conveyor & Transfer,"Heat Resistant Conveyor Roller Diameter 133mm Length 600mm Heavy Wall with Graphite Bushing for Reheating Furnace Exit Table",NOS,80,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-DSP-2026-0622
SAIL-DSP-2026-0623,Steel Authority of India Limited,Durgapur Steel Plant (DSP),SMS Converter Shop,Oxygen Valves,"Oxygen Control Globe Valve ASME Class 300 8 Inch Monel 400 Body and Trim Degreased and Ultrasonic Cleaned for Oxygen Service",NOS,3,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-DSP-2026-0623
SAIL-ISP-2026-0341,Steel Authority of India Limited,IISCO Steel Plant (ISP),Burnpur / Blast Furnace Kalyani,Gas Cleaning Plant,"Submerged Scrubber Water Recirculation Slurry Pump 450 M3/HR Head 35M Impeller Ni-Hard IV Casing Heavy Cast Iron",SET,4,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-ISP-2026-0341
SAIL-ISP-2026-0342,Steel Authority of India Limited,IISCO Steel Plant (ISP),Bar Mill,Drive Spares,"Cardan Universal Drive Shaft Torque Capacity 120 kNm Flange Diameter 315mm Length 2200mm for Roughing Mill Gearbox Drive",NOS,4,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-ISP-2026-0342
SAIL-SSP-2026-0181,Steel Authority of India Limited,Salem Steel Plant (SSP),Salem / Stainless Steel Cold Mill,Mill Rolls,"Forged Tool Steel Work Roll 12% Cr (AISI D2 / DIN 1.2379) Induction Hardened 62-64 HRC for 20-Hi Sendzimir Rolling Mill",NOS,12,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-SSP-2026-0181
SAIL-BSP-2026-0495,Steel Authority of India Limited,Bhilai Steel Plant (BSP),Refractory Materials Plant,Raw Materials,"Calcined Bauxite Lump Form Al2O3 Min 85% Fe2O3 Max 2.5% Grain Size 0-25mm for Monolithic Tundish Gunning Mass",MT,800,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSP-2026-0495
SAIL-BSL-2026-1125,Steel Authority of India Limited,Bokaro Steel Plant (BSL),Electrical Repair Shop,Mill Motors,"DC Mill Auxiliary Motor 75 kW 440V 600 RPM AISE Standard Mill Auxiliary Motor Frame 810 Insulation Class H Totally Enclosed",SET,3,sailtenders.co.in,https://sailtenders.co.in/eproc/app?action=viewTender&id=SAIL-BSL-2026-1125

