pair_id,evidence_type,attribute_name,expected_effect
PR-0001,LEXICAL_MATCH,description,SUPPORTIVE
PR-0002,LEXICAL_MATCH,description,SUPPORTIVE
PR-0003,LEXICAL_MATCH,description,SUPPORTIVE
PR-0004,LEXICAL_MATCH,description,SUPPORTIVE
PR-0005,LEXICAL_MATCH,description,SUPPORTIVE
PR-0006,LEXICAL_MATCH,description,SUPPORTIVE
PR-0007,LEXICAL_MATCH,description,SUPPORTIVE
PR-0008,LEXICAL_MATCH,description,SUPPORTIVE
PR-0009,LEXICAL_MATCH,description,SUPPORTIVE
PR-0010,LEXICAL_MATCH,description,SUPPORTIVE
PR-0011,LEXICAL_MATCH,description,SUPPORTIVE
PR-0012,LEXICAL_MATCH,description,SUPPORTIVE
PR-0013,LEXICAL_MATCH,description,SUPPORTIVE
PR-0014,LEXICAL_MATCH,description,SUPPORTIVE
PR-0015,LEXICAL_MATCH,description,SUPPORTIVE
PR-0016,LEXICAL_MATCH,description,SUPPORTIVE
PR-0017,LEXICAL_MATCH,description,SUPPORTIVE
PR-0018,LEXICAL_MATCH,description,SUPPORTIVE
PR-0019,LEXICAL_MATCH,description,SUPPORTIVE
PR-0020,LEXICAL_MATCH,description,SUPPORTIVE
PR-0021,LEXICAL_MATCH,description,SUPPORTIVE
PR-0022,LEXICAL_MATCH,description,SUPPORTIVE
PR-0023,LEXICAL_MATCH,description,SUPPORTIVE
PR-0024,LEXICAL_MATCH,description,SUPPORTIVE
PR-0025,LEXICAL_MATCH,description,SUPPORTIVE
PR-0026,LEXICAL_MATCH,description,SUPPORTIVE
PR-0027,LEXICAL_MATCH,description,SUPPORTIVE
PR-0028,LEXICAL_MATCH,description,SUPPORTIVE
PR-0029,LEXICAL_MATCH,description,SUPPORTIVE
PR-0030,LEXICAL_MATCH,description,SUPPORTIVE
PR-0031,LEXICAL_MATCH,description,SUPPORTIVE
PR-0032,LEXICAL_MATCH,description,SUPPORTIVE
PR-0033,LEXICAL_MATCH,description,SUPPORTIVE
PR-0034,LEXICAL_MATCH,description,SUPPORTIVE
PR-0035,LEXICAL_MATCH,description,SUPPORTIVE
PR-0036,LEXICAL_MATCH,description,SUPPORTIVE
PR-0037,LEXICAL_MATCH,description,SUPPORTIVE
PR-0038,LEXICAL_MATCH,description,SUPPORTIVE
PR-0039,LEXICAL_MATCH,description,SUPPORTIVE
PR-0040,LEXICAL_MATCH,description,SUPPORTIVE
PR-0041,LEXICAL_MATCH,description,SUPPORTIVE
PR-0042,LEXICAL_MATCH,description,SUPPORTIVE
PR-0043,LEXICAL_MATCH,description,SUPPORTIVE
PR-0044,LEXICAL_MATCH,description,SUPPORTIVE
PR-0045,LEXICAL_MATCH,description,SUPPORTIVE
PR-0046,LEXICAL_MATCH,description,SUPPORTIVE
PR-0047,LEXICAL_MATCH,description,SUPPORTIVE
PR-0048,LEXICAL_MATCH,description,SUPPORTIVE
PR-0049,LEXICAL_MATCH,description,SUPPORTIVE
PR-0050,LEXICAL_MATCH,description,SUPPORTIVE
PR-0051,LEXICAL_MATCH,description,SUPPORTIVE
PR-0052,LEXICAL_MATCH,description,SUPPORTIVE
PR-0053,LEXICAL_MATCH,description,SUPPORTIVE
PR-0054,LEXICAL_MATCH,description,SUPPORTIVE
PR-0055,LEXICAL_MATCH,description,SUPPORTIVE
PR-0056,LEXICAL_MATCH,description,SUPPORTIVE
PR-0057,LEXICAL_MATCH,description,SUPPORTIVE
PR-0058,LEXICAL_MATCH,description,SUPPORTIVE
PR-0059,LEXICAL_MATCH,description,SUPPORTIVE
PR-0060,LEXICAL_MATCH,description,SUPPORTIVE
PR-0061,LEXICAL_MATCH,description,SUPPORTIVE
PR-0062,LEXICAL_MATCH,description,SUPPORTIVE
PR-0063,LEXICAL_MATCH,description,SUPPORTIVE
PR-0064,LEXICAL_MATCH,description,SUPPORTIVE
PR-0065,LEXICAL_MATCH,description,SUPPORTIVE
PR-0066,LEXICAL_MATCH,description,SUPPORTIVE
PR-0067,LEXICAL_MATCH,description,SUPPORTIVE
PR-0068,LEXICAL_MATCH,description,SUPPORTIVE
PR-0069,LEXICAL_MATCH,description,SUPPORTIVE
PR-0070,LEXICAL_MATCH,description,SUPPORTIVE
PR-0071,LEXICAL_MATCH,description,SUPPORTIVE
PR-0072,LEXICAL_MATCH,description,SUPPORTIVE
PR-0073,LEXICAL_MATCH,description,SUPPORTIVE
PR-0074,LEXICAL_MATCH,description,SUPPORTIVE
PR-0075,LEXICAL_MATCH,description,SUPPORTIVE
PR-0076,LEXICAL_MATCH,description,SUPPORTIVE
PR-0077,LEXICAL_MATCH,description,SUPPORTIVE
PR-0078,LEXICAL_MATCH,description,SUPPORTIVE
PR-0079,LEXICAL_MATCH,description,SUPPORTIVE
PR-0080,LEXICAL_MATCH,description,SUPPORTIVE
PR-0081,LEXICAL_MATCH,description,SUPPORTIVE
PR-0082,LEXICAL_MATCH,description,SUPPORTIVE
PR-0083,LEXICAL_MATCH,description,SUPPORTIVE
PR-0084,LEXICAL_MATCH,description,SUPPORTIVE
PR-0085,LEXICAL_MATCH,description,SUPPORTIVE
PR-0086,LEXICAL_MATCH,description,SUPPORTIVE
PR-0087,LEXICAL_MATCH,description,SUPPORTIVE
PR-0088,LEXICAL_MATCH,description,SUPPORTIVE
PR-0089,LEXICAL_MATCH,description,SUPPORTIVE
PR-0090,LEXICAL_MATCH,description,SUPPORTIVE
PR-0091,LEXICAL_MATCH,description,SUPPORTIVE
PR-0092,LEXICAL_MATCH,description,SUPPORTIVE
PR-0093,LEXICAL_MATCH,description,SUPPORTIVE
PR-0094,LEXICAL_MATCH,description,SUPPORTIVE
PR-0095,LEXICAL_MATCH,description,SUPPORTIVE
PR-0096,LEXICAL_MATCH,description,SUPPORTIVE
PR-0097,LEXICAL_MATCH,description,SUPPORTIVE
PR-0098,LEXICAL_MATCH,description,SUPPORTIVE
PR-0099,LEXICAL_MATCH,description,SUPPORTIVE
PR-0100,LEXICAL_MATCH,description,SUPPORTIVE
PR-0101,LEXICAL_MATCH,description,SUPPORTIVE
PR-0102,LEXICAL_MATCH,description,SUPPORTIVE
PR-0103,LEXICAL_MATCH,description,SUPPORTIVE
PR-0104,LEXICAL_MATCH,description,SUPPORTIVE
PR-0105,LEXICAL_MATCH,description,SUPPORTIVE
PR-0106,LEXICAL_MATCH,description,SUPPORTIVE
PR-0107,LEXICAL_MATCH,description,SUPPORTIVE
PR-0108,LEXICAL_MATCH,description,SUPPORTIVE
PR-0109,LEXICAL_MATCH,description,SUPPORTIVE
PR-0110,LEXICAL_MATCH,description,SUPPORTIVE
PR-0111,LEXICAL_MATCH,description,SUPPORTIVE
PR-0112,LEXICAL_MATCH,description,SUPPORTIVE
PR-0113,LEXICAL_MATCH,description,SUPPORTIVE
PR-0114,LEXICAL_MATCH,description,SUPPORTIVE
PR-0115,LEXICAL_MATCH,description,SUPPORTIVE
PR-0116,LEXICAL_MATCH,description,SUPPORTIVE
PR-0117,LEXICAL_MATCH,description,SUPPORTIVE
PR-0118,LEXICAL_MATCH,description,SUPPORTIVE
PR-0119,LEXICAL_MATCH,description,SUPPORTIVE
PR-0120,LEXICAL_MATCH,description,SUPPORTIVE
PR-0121,LEXICAL_MATCH,description,SUPPORTIVE
PR-0122,LEXICAL_MATCH,description,SUPPORTIVE
PR-0123,LEXICAL_MATCH,description,SUPPORTIVE
PR-0124,LEXICAL_MATCH,description,SUPPORTIVE
PR-0125,LEXICAL_MATCH,description,SUPPORTIVE
PR-0126,LEXICAL_MATCH,description,SUPPORTIVE
PR-0127,LEXICAL_MATCH,description,SUPPORTIVE
PR-0128,LEXICAL_MATCH,description,SUPPORTIVE
PR-0129,LEXICAL_MATCH,description,SUPPORTIVE
PR-0130,LEXICAL_MATCH,description,SUPPORTIVE
PR-0131,LEXICAL_MATCH,description,SUPPORTIVE
PR-0132,LEXICAL_MATCH,description,SUPPORTIVE
PR-0133,LEXICAL_MATCH,description,SUPPORTIVE
PR-0134,LEXICAL_MATCH,description,SUPPORTIVE
PR-0135,LEXICAL_MATCH,description,SUPPORTIVE
PR-0136,LEXICAL_MATCH,description,SUPPORTIVE
PR-0137,LEXICAL_MATCH,description,SUPPORTIVE
PR-0138,LEXICAL_MATCH,description,SUPPORTIVE
PR-0139,LEXICAL_MATCH,description,SUPPORTIVE
PR-0140,LEXICAL_MATCH,description,SUPPORTIVE
PR-0141,LEXICAL_MATCH,description,SUPPORTIVE
PR-0142,LEXICAL_MATCH,description,SUPPORTIVE
PR-0143,LEXICAL_MATCH,description,SUPPORTIVE
PR-0144,LEXICAL_MATCH,description,SUPPORTIVE
PR-0145,LEXICAL_MATCH,description,SUPPORTIVE
PR-0146,LEXICAL_MATCH,description,SUPPORTIVE
PR-0147,LEXICAL_MATCH,description,SUPPORTIVE
PR-0148,LEXICAL_MATCH,description,SUPPORTIVE
PR-0149,LEXICAL_MATCH,description,SUPPORTIVE
PR-0150,LEXICAL_MATCH,description,SUPPORTIVE
PR-0151,LEXICAL_MATCH,description,SUPPORTIVE
PR-0152,LEXICAL_MATCH,description,SUPPORTIVE
PR-0153,LEXICAL_MATCH,description,SUPPORTIVE
PR-0154,LEXICAL_MATCH,description,SUPPORTIVE
PR-0155,LEXICAL_MATCH,description,SUPPORTIVE
PR-0156,LEXICAL_MATCH,description,SUPPORTIVE
PR-0157,LEXICAL_MATCH,description,SUPPORTIVE
PR-0158,LEXICAL_MATCH,description,SUPPORTIVE
PR-0159,LEXICAL_MATCH,description,SUPPORTIVE
PR-0160,LEXICAL_MATCH,description,SUPPORTIVE
PR-0161,LEXICAL_MATCH,description,SUPPORTIVE
PR-0162,LEXICAL_MATCH,description,SUPPORTIVE
PR-0163,LEXICAL_MATCH,description,SUPPORTIVE
PR-0164,LEXICAL_MATCH,description,SUPPORTIVE
PR-0165,LEXICAL_MATCH,description,SUPPORTIVE
PR-0166,LEXICAL_MATCH,description,SUPPORTIVE
PR-0167,LEXICAL_MATCH,description,SUPPORTIVE
PR-0168,LEXICAL_MATCH,description,SUPPORTIVE
PR-0169,LEXICAL_MATCH,description,SUPPORTIVE
PR-0170,LEXICAL_MATCH,description,SUPPORTIVE
PR-0171,LEXICAL_MATCH,description,SUPPORTIVE
PR-0172,LEXICAL_MATCH,description,SUPPORTIVE
PR-0173,LEXICAL_MATCH,description,SUPPORTIVE
PR-0174,LEXICAL_MATCH,description,SUPPORTIVE
PR-0175,LEXICAL_MATCH,description,SUPPORTIVE
PR-0176,LEXICAL_MATCH,description,SUPPORTIVE
PR-0177,LEXICAL_MATCH,description,SUPPORTIVE
PR-0178,LEXICAL_MATCH,description,SUPPORTIVE
PR-0179,LEXICAL_MATCH,description,SUPPORTIVE
PR-0180,LEXICAL_MATCH,description,SUPPORTIVE
PR-0181,LEXICAL_MATCH,description,SUPPORTIVE
PR-0182,LEXICAL_MATCH,description,SUPPORTIVE
PR-0183,LEXICAL_MATCH,description,SUPPORTIVE
PR-0184,LEXICAL_MATCH,description,SUPPORTIVE
PR-0185,LEXICAL_MATCH,description,SUPPORTIVE
PR-0186,LEXICAL_MATCH,description,SUPPORTIVE
PR-0187,LEXICAL_MATCH,description,SUPPORTIVE
PR-0188,LEXICAL_MATCH,description,SUPPORTIVE
PR-0189,LEXICAL_MATCH,description,SUPPORTIVE
PR-0190,LEXICAL_MATCH,description,SUPPORTIVE
PR-0191,LEXICAL_MATCH,description,SUPPORTIVE
PR-0192,LEXICAL_MATCH,description,SUPPORTIVE
PR-0193,LEXICAL_MATCH,description,SUPPORTIVE
PR-0194,LEXICAL_MATCH,description,SUPPORTIVE
PR-0195,LEXICAL_MATCH,description,SUPPORTIVE
PR-0196,LEXICAL_MATCH,description,SUPPORTIVE
PR-0197,LEXICAL_MATCH,description,SUPPORTIVE
PR-0198,LEXICAL_MATCH,description,SUPPORTIVE
PR-0199,LEXICAL_MATCH,description,SUPPORTIVE
PR-0200,LEXICAL_MATCH,description,SUPPORTIVE
PR-0201,LEXICAL_MATCH,description,SUPPORTIVE
CF-PR-0001,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0002,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0003,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0004,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0005,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0006,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0007,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0008,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0009,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0010,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0011,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0012,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0013,TECHNICAL_CONFLICT,pressure_class,CONTRADICTORY
CF-PR-0014,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0015,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0016,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0017,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0018,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0019,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0020,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0021,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0022,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0023,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0024,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0025,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0026,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
CF-PR-0027,TECHNICAL_CONFLICT,nominal_size,CONTRADICTORY
