pl_no,main_group,group_name,description,uom,standard_spec
10010014,10,Diesel Loco Spares,Lube oil filter element paper pleated for ALCO 251 diesel engine,NOS,RDSO MP.0.2600.15
10010026,10,Diesel Loco Spares,Piston ring set chrome plated compression and oil scraper for 710 G3B EMD locomotive engine,SET,EMD Part 40056018 / RDSO Spec
10010038,10,Diesel Loco Spares,Fuel injection pump assembly high pressure for 16-cylinder 3100 HP diesel locomotive,NOS,MICO Bosch / RDSO Spec
10010040,10,Diesel Loco Spares,Turbocharger gas inlet casing heat resistant alloy cast iron for Napier/ABB turbocharger,NOS,RDSO MP.0.2400.43
20010019,20,Electric Loco Spares,Metalized carbon strip for pantograph current collection 25 kV AC electric locomotives (WAG9/WAP7),NOS,RDSO Spec RDSO/2009/EL/SPEC/0097
20010020,20,Electric Loco Spares,Vacuum circuit breaker 25 kV single phase 1000A 50 Hz roof mounted for 3-phase electric locos,NOS,AAL / BT / RDSO Spec
20010032,20,Electric Loco Spares,Traction motor carbon brush Grade EG236S with dual flexible shunt for 3-phase traction motor,NOS,Morgan / Schunk / RDSO Spec
20010044,20,Electric Loco Spares,Harmonic filter damping resistor grid stainless steel high power for auxiliary converter,SET,CLW Spec CLW/ES/3/0045
30010013,30,Carriage & Wagon,Distributor valve with common pipe bracket graduated release type for air brake system,NOS,RDSO Spec 02-ABR-02 / UIC 540
30010025,30,Carriage & Wagon,Center Buffer Coupler (CBC) knuckle cast alloy steel Grade E quenched and tempered for freight stock,NOS,RDSO Spec 48-BD-08 / AAR M-211
30010037,30,Carriage & Wagon,High capacity draft gear elastomer pad type capacity 45 kJ for AAR tightlock couplers,NOS,RDSO Spec 49-BD-08
30010049,30,Carriage & Wagon,Composite brake block 'K' type high friction asbestos-free for coaching stock with disc brakes,NOS,RDSO Spec C-9809
30010050,30,Carriage & Wagon,Elastomeric polyurethane side bearer pad for CASNUB bogie of freight wagons,NOS,RDSO Spec WD-38-MISC-2004
40010012,40,Electrical Cables,Cable copper conductor PVC insulated armoured 1100V grade 4 core 16 sq mm conforming to IS 1554 Part 1,MTR,IS 1554 Part 1 / IRS S 63
40010024,40,Electrical Cables,Cable aluminium conductor XLPE insulated armoured 11 kV grade 3 core 240 sq mm conforming to IS 7098 Part 2,MTR,IS 7098 Part 2
40010036,40,Electrical Cables,Cable signalling copper conductor 12 core 1.5 sq mm PVC insulated armoured for railway signalling,MTR,IRS S 63/2014
40010048,40,Electrical Cables,Transformer oil uninhibited mineral insulating conforming to IS 335 in standard 209 litre barrels,LTR,IS 335:2018
40010050,40,Electrical Cables,ACSR Conductor Panther size 30/7/3.00 mm for 66kV and 132kV overhead railway traction transmission,KM,IS 398 Part 2
40010061,40,Electrical Cables,Hard drawn grooved copper contact wire 107 sq mm cross-section for 25 kV AC electric traction,MT,RDSO Spec ETI/OHE/76 / IS 3476
40010073,40,Electrical Cables,Cadmium copper catenary wire 65 sq mm 19/2.10 mm stranding for 25 kV railway overhead electrification,KM,RDSO Spec ETI/OHE/50
50010017,50,Signaling & Telecom,Electric point machine 143 mm stroke with internal locking 110V DC for railway points and crossings,NOS,IRS S-24/2002
50010029,50,Signaling & Telecom,Multi-Aspect Colour Light Signal (MACLS) LED signal lighting unit 110V AC Green/Red/Yellow,NOS,RDSO Spec RDSO/SPN/153/2011
50010030,50,Signaling & Telecom,High security miniature plug-in type signalling relay 'Q' style QN1 neutral line relay 24V DC 8F/8B contacts,NOS,BRS:930 / IRS:S-34
50010042,50,Signaling & Telecom,Solid State Interlocking (SSI / EI) central processor module 2-out-of-2 architecture SIL-4 certified,NOS,RDSO/SPN/192/2019
70010018,70,Fasteners & Hardware,Hexagonal head bolt with nut M16 x 65 mm Property Class 8.8 galvanized conforming to IS 1363,NOS,IS 1363 / IS 1364
70010020,70,Fasteners & Hardware,High tensile alloy steel stud bolt ASTM A193 Grade B7 with 2 heavy hex nuts A194 Grade 2H size 3/4 inch x 120 mm,SET,ASTM A193/A194
70010031,70,Fasteners & Hardware,Stainless steel hex head screw M10 x 40 mm Grade A2-70 conforming to ISO 4017 / IS 1364,NOS,ISO 4017 / A2-70
70010043,70,Fasteners & Hardware,Single coil spring washer for 20 mm nominal diameter bolt conforming to IS 3063,NOS,IS 3063
70010055,70,Fasteners & Hardware,Fish bolt with nut M24 x 140 mm high tensile steel for 60 kg / 52 kg rail joints,NOS,IRS T-28
70010067,70,Fasteners & Hardware,Elastic rail clip (ERC) Mark-III spring steel silicomanganese for pre-stressed concrete sleepers,NOS,IRS T-31
73010015,73,Piping & Valves,Gate valve flanged ends Class 150 nominal bore 50 mm body cast carbon steel ASTM A216 WCB trim 13Cr,NOS,API 600 / ASME B16.34
73010027,73,Piping & Valves,Ball valve 3 piece design screwed end 1/2 inch BSP full bore body stainless steel AISI 316,NOS,BS 5351 / ISO 17292
73010039,73,Piping & Valves,Spiral wound metallic gasket 4 inch nominal diameter Class 150 SS316 with flexible graphite filler,NOS,ASME B16.20
73010040,73,Piping & Valves,Seamless steel pipe nominal bore 100 mm heavy grade Schedule 40 conforming to ASTM A106 Grade B,MTR,ASTM A106 Gr B
73010052,73,Piping & Valves,Cut-off angle cock 32 mm bore with vent for train brake pipe line with polyurethane seal,NOS,RDSO Spec 02-ABR-02 / MP.0.01.00.02
73010064,73,Piping & Valves,Flexible rubber air brake hose assembly 20 mm nominal bore with palm coupling for train air line,SET,RDSO Spec 02-ABR-02 / IS 443
85010014,85,Bearings,Deep groove ball bearing single row 6312 2Z C3 clearance shielded conforming to ISO 15 / DIN 625,NOS,ISO 15 / DIN 625
85010026,85,Bearings,Spherical roller bearing 22220 EK with adapter sleeve H320 for industrial rolling stock axles,SET,ISO 15 / ISO 281
85010038,85,Bearings,Cartridge tapered roller bearing unit (CTBU) Class K 6.5 x 9 inch for freight car bogies,NOS,AAR M-934 / RDSO Spec
85010040,85,Bearings,Cylindrical roller bearing NJ 2324 ECML brass cage for electric locomotive traction motor axle support,NOS,SKF / FAG / RDSO Spec
85010051,85,Bearings,Axle box roller bearing double row cylindrical WJ/WJP 130 x 240 for ICF coaching stock bogies,SET,RDSO Spec C-8527
90010017,90,Structural Steel & Rails,Mild steel equal angle 50 x 50 x 6 mm Grade E250 Quality A conforming to IS 2062,MTR,IS 2062:2011 E250A
90010029,90,Structural Steel & Rails,Steel plate 12 mm thick Grade E250 Quality BR killed normalized conforming to IS 2062,MT,IS 2062:2011 E250BR
90010030,90,Structural Steel & Rails,Stainless steel sheet 2.0 mm thick cold rolled 2B finish Grade AISI 304 / X04Cr19Ni9,SQM,IS 6911 / ASTM A240
90010042,90,Structural Steel & Rails,60 kg/m Prime Steel Rail UIC 60 Section Grade 880 UTS for heavy haul freight corridors,MT,IRS T-12:2009
90010054,90,Structural Steel & Rails,Glued Insulated Rail Joint (G3L) 60 kg rail 6-metre long web drilled for track circuits,SET,RDSO Manual of Glued Insulated Rail Joints
90010066,90,Structural Steel & Rails,Cast manganese steel (CMS) crossing 1 in 12 for 60 kg UIC rail turnkey turnouts,NOS,IRS T-29
