pair_id,material_id_a,cpse_a,material_id_b,cpse_b,relation_type,decision_status,conflict_attributes,conflict_tier,reason,source_type
PR-0001,MAT-0003,CPSE_03,MAT-0001,CPSE_04,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0002,MAT-0015,CPSE_05,MAT-0013,CPSE_03,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0003,MAT-0021,CPSE_01,MAT-0019,CPSE_02,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0004,MAT-0033,CPSE_04,MAT-0031,CPSE_05,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0005,MAT-0036,CPSE_03,MAT-0034,CPSE_05,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0006,MAT-0042,CPSE_01,MAT-0040,CPSE_04,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0007,MAT-0045,CPSE_02,MAT-0043,CPSE_03,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0008,MAT-0066,CPSE_03,MAT-0064,CPSE_01,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0009,MAT-0081,CPSE_03,MAT-0079,CPSE_04,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0010,MAT-0105,CPSE_05,MAT-0103,CPSE_01,UNDETERMINED,REVIEW,,none,"Critical technical attributes missing from description, making safe equivalence impossible.",SYNTHETIC
PR-0011,MAT-0001,CPSE_04,MAT-0002,CPSE_02,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0012,MAT-0004,CPSE_05,MAT-0005,CPSE_04,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0013,MAT-0007,CPSE_01,MAT-0008,CPSE_04,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0014,MAT-0010,CPSE_03,MAT-0011,CPSE_05,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0015,MAT-0013,CPSE_03,MAT-0014,CPSE_04,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0016,MAT-0016,CPSE_03,MAT-0017,CPSE_04,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0017,MAT-0019,CPSE_02,MAT-0020,CPSE_03,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0018,MAT-0022,CPSE_05,MAT-0023,CPSE_04,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0019,MAT-0025,CPSE_01,MAT-0026,CPSE_04,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0020,MAT-0028,CPSE_01,MAT-0029,CPSE_05,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0021,MAT-0031,CPSE_05,MAT-0032,CPSE_01,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0022,MAT-0034,CPSE_05,MAT-0035,CPSE_02,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0023,MAT-0037,CPSE_05,MAT-0038,CPSE_03,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0024,MAT-0040,CPSE_04,MAT-0041,CPSE_05,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0025,MAT-0043,CPSE_03,MAT-0044,CPSE_05,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0026,MAT-0046,CPSE_02,MAT-0047,CPSE_05,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0027,MAT-0049,CPSE_05,MAT-0050,CPSE_01,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0028,MAT-0052,CPSE_05,MAT-0053,CPSE_03,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0029,MAT-0055,CPSE_05,MAT-0056,CPSE_01,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0030,MAT-0058,CPSE_01,MAT-0059,CPSE_04,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0031,MAT-0061,CPSE_03,MAT-0062,CPSE_01,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0032,MAT-0064,CPSE_01,MAT-0065,CPSE_05,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0033,MAT-0067,CPSE_05,MAT-0068,CPSE_03,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0034,MAT-0070,CPSE_05,MAT-0071,CPSE_03,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0035,MAT-0073,CPSE_04,MAT-0074,CPSE_03,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0036,MAT-0076,CPSE_04,MAT-0077,CPSE_01,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0037,MAT-0079,CPSE_04,MAT-0080,CPSE_05,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0038,MAT-0082,CPSE_02,MAT-0083,CPSE_01,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0039,MAT-0085,CPSE_04,MAT-0086,CPSE_05,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0040,MAT-0088,CPSE_02,MAT-0089,CPSE_04,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0041,MAT-0091,CPSE_03,MAT-0092,CPSE_05,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0042,MAT-0094,CPSE_01,MAT-0095,CPSE_02,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0043,MAT-0097,CPSE_01,MAT-0098,CPSE_02,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0044,MAT-0100,CPSE_03,MAT-0101,CPSE_02,IDENTICAL,PROPOSED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0045,MAT-0103,CPSE_01,MAT-0104,CPSE_03,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0046,MAT-0106,CPSE_03,MAT-0107,CPSE_05,IDENTICAL,REVIEW,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0047,MAT-0109,CPSE_05,MAT-0110,CPSE_01,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0048,MAT-0112,CPSE_05,MAT-0113,CPSE_03,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
PR-0049,MAT-0115,CPSE_03,MAT-0116,CPSE_05,IDENTICAL,APPROVED,,none,Same material identity and relevant technical specification. Wording or local codes may differ.,SYNTHETIC
